artista,tipo,título_canción,nombre_album,año,genre
Billie Eilish,track,my future,Happier Than Ever,2021,pop
Taylor Swift,track,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Fearless (Taylor's Version),2021,pop
Nessa Barrett,track,i hope ur miserable until ur dead,i hope ur miserable until ur dead,2021,pop
Regard,track,You,You,2021,pop
Taylor Swift,track,Message In A Bottle (Taylor's Version) (From The Vault),Red (Taylor's Version),2021,pop
Drake,track,N 2 Deep,Certified Lover Boy,2021,pop
Mad Tsai,track,killer queen,killer queen,2021,pop
GAYLE,track,abcdefu,abcdefu,2021,pop
Taylor Swift,track,The Very First Night (Taylor's Version) (From The Vault),Red (Taylor's Version),2021,pop
Taylor Swift,track,willow,evermore (deluxe version),2021,pop
Billie Eilish,track,Lost Cause,Happier Than Ever,2021,pop
Holding Absence,track,Afterlife,The Greatest Mistake of My Life,2021,pop
Don Diablo,track,Hot Air Balloon,FORΞVΞR (DΞLUXΞ ΞDITION),2021,pop
Treaty Oak Revival,track,Postcard,No Vacancy,2021,pop
Taylor Swift,track,The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),Red (Taylor's Version),2021,pop
Men I Trust,track,Tree Among Shrubs,Untourable Album,2021,pop
Post Malone,track,One Right Now (with The Weeknd),One Right Now,2021,pop
Simple Plan,track,What's New Scooby-Doo?,What's New Scooby-Doo?,2021,pop
Corey Kent,track,Gold,'21,2021,pop
Drake,track,Fountains (with Tems),Certified Lover Boy,2021,pop
Bruno Mars,track,Leave The Door Open,An Evening With Silk Sonic,2021,pop
Taylor Swift,track,Better Man (Taylor's Version) (From The Vault),Red (Taylor's Version),2021,pop
Taylor Swift,track,Begin Again (Taylor's Version),Red (Taylor's Version),2021,pop
Tiësto,track,The Motto,The Motto,2021,pop
Tory Lanez,track,‘87 Stingray,Alone At Prom,2021,pop
The Marías,track,All I Really Want Is You,CINEMA,2021,pop
Bruno Mars,track,Skate,An Evening With Silk Sonic,2021,pop
Drake,track,Race My Mind,Certified Lover Boy,2021,pop
Remi Wolf,track,Photo ID (with Dominic Fike),We Love Dogs!,2021,pop
Sam Hunt,track,23,23,2021,pop
Billie Eilish,track,Happier Than Ever - Edit,Happier Than Ever (Edit),2021,pop
Justin Bieber,track,Off My Face,Justice,2021,pop
Noah Kahan,track,Godlight,I Was / I Am,2021,pop
Jervis Campbell,track,Find You,Onward & Upward,2021,pop
Drake,track,Love All (with JAY-Z),Certified Lover Boy,2021,pop
Rauw Alejandro,track,Cosa Guapa,VICE VERSA,2021,pop
Nancy Sinatra,track,These Boots Are Made for Walkin',Start Walkin' 1965-1976,2021,pop
ENHYPEN,track,FEVER,BORDER : CARNIVAL,2021,pop
Young Stoner Life,track,Solid (feat. Drake),Slime Language 2,2021,pop
ROSÉ,track,On The Ground,R,2021,pop
Lana Del Rey,track,Thunder,Blue Banisters,2021,pop
Taylor Swift,track,it’s time to go - bonus track,evermore (deluxe version),2021,pop
Lost Frequencies,track,Where Are You Now,Where Are You Now,2021,pop
DaBaby,track,Masterpiece,Masterpiece,2021,pop
Tate McRae,track,rubberband,TOO YOUNG TO BE SAD,2021,pop
mazie,track,dumb dumb,the rainbow cassette,2021,pop
Madison Beer,track,Good In Goodbye,Life Support,2021,pop
Still Woozy,track,Window,"If This Isn’t Nice, I Don’t Know What Is",2021,pop
